city,district
Doluwa,Kurunegala
Doragamuwa,Kurunegala
Doratiyawa,Kurunegala
Dunumadalawa,Kurunegala
Dunuwilapitiya,Kurunegala
Ehetuwewa,Kurunegala
Elibichchiya,Kurunegala
Embogama,Kurunegala
Etungahakotuwa,Kurunegala
Galadivulwewa,Kurunegala
Galgamuwa,Kurunegala
Gallellagama,Kurunegala
Gallewa,Kurunegala
Ganegoda,Kurunegala
Girathalana,Kurunegala
Gokaralla,Kurunegala
Gonawila,Kurunegala
Halmillawewa,Kurunegala
Handungamuwa,Kurunegala
Harankahawa,Kurunegala
Helamada,Kurunegala
Hengamuwa,Kurunegala
Hettipola,Kurunegala
Hewainna,Kurunegala
Hilogama,Kurunegala
Hindagolla,Kurunegala
Hiriyala Lenawa,Kurunegala
Hiruwalpola,Kurunegala
Horambawa,Kurunegala
Hulogedara,Kurunegala
Hulugalla,Kurunegala
Ihala Gomugomuwa,Kurunegala
Ihala Katugampala,Kurunegala
Indulgodakanda,Kurunegala
Ithanawatta,Kurunegala
Kadigawa,Kurunegala
Kalankuttiya,Kurunegala
Kalatuwawa,Kurunegala
Kalugamuwa,Kurunegala
Kanadeniyawala,Kurunegala
Kanattewewa,Kurunegala
Kandegedara,Kurunegala
Karagahagedara,Kurunegala
Karambe,Kurunegala
Katiyawa,Kurunegala
Katupota,Kurunegala
Kawudulla,Kurunegala
Kawuduluwewa Stagell,Kurunegala
Kekunagolla,Kurunegala
Keppitiwalana,Kurunegala
Kimbulwanaoya,Kurunegala
Kirimetiyawa,Kurunegala
Kirindawa,Kurunegala
Kirindigalla,Kurunegala
Kithalawa,Kurunegala
Kitulwala,Kurunegala
Kobeigane,Kurunegala
Kohilagedara,Kurunegala
Konwewa,Kurunegala
Kosdeniya,Kurunegala
Kosgolla,Kurunegala
Kotagala,Kurunegala
Colombo 13,Colombo
Kotawehera,Kurunegala
Kudagalgamuwa,Kurunegala
Kudakatnoruwa,Kurunegala
Kuliyapitiya,Kurunegala
Kumaragama,Kurunegala
Kumbukgeta,Kurunegala
Kumbukwewa,Kurunegala
Kuratihena,Kurunegala
Kurunegala,Kurunegala
Ibbagamuwa,Kurunegala
Ihala Kadigamuwa,Kurunegala
Lihiriyagama,Kurunegala
Illagolla,Kurunegala
Ilukhena,Kurunegala
Lonahettiya,Kurunegala
Madahapola,Kurunegala
Madakumburumulla,Kurunegala
Madalagama,Kurunegala
Madawala Ulpotha,Kurunegala
Maduragoda,Kurunegala
Maeliya,Kurunegala
Magulagama,Kurunegala
Maha Ambagaswewa,Kurunegala
Mahagalkadawala,Kurunegala
Mahagirilla,Kurunegala
Mahamukalanyaya,Kurunegala
Mahananneriya,Kurunegala
Mahapallegama,Kurunegala
Maharachchimulla,Kurunegala
Mahatalakolawewa,Kurunegala
Mahawewa,Kurunegala
Maho,Kurunegala
Makulewa,Kurunegala
Makulpotha,Kurunegala
Makulwewa,Kurunegala
Malagane,Kurunegala
Mandapola,Kurunegala
Maspotha,Kurunegala
Mawathagama,Kurunegala
Medirigiriya,Kurunegala
Medivawa,Kurunegala
Meegalawa,Kurunegala
Meegaswewa,Kurunegala
Meewellawa,Kurunegala
Melsiripura,Kurunegala
Metikumbura,Kurunegala
Metiyagane,Kurunegala
Minhettiya,Kurunegala
Minuwangete,Kurunegala
Mirihanagama,Kurunegala
Monnekulama,Kurunegala
Moragane,Kurunegala
Moragollagama,Kurunegala
Morathiha,Kurunegala
Munamaldeniya,Kurunegala
Muruthenge,Kurunegala
Mutugala,Kurunegala
Nabadewa,Kurunegala
Nagollagama,Kurunegala
Nagollagoda,Kurunegala
Nakkawatta,Kurunegala
Narammala,Kurunegala
Nawasenapura,Kurunegala
Nawatalwatta,Kurunegala
Nelliya,Kurunegala
Nikaweratiya,Kurunegala
Nugagolla,Kurunegala
Nugawela,Kurunegala
Padeniya,Kurunegala
Padiwela,Kurunegala
Pahalagiribawa,Kurunegala
Pahamune,Kurunegala
Palagala,Kurunegala
Palapathwela,Kurunegala
Palaviya,Kurunegala
Pallewela,Kurunegala
Palukadawala,Kurunegala
Panadaragama,Kurunegala
Panagamuwa,Kurunegala
Panaliya,Kurunegala
Panapitiya,Kurunegala
Panliyadda,Kurunegala
Pansiyagama,Kurunegala
Parape,Kurunegala
Pathanewatta,Kurunegala
Pattiya Watta,Kurunegala
Perakanatta,Kurunegala
Periyakadneluwa,Kurunegala
Pihimbiya Ratmale,Kurunegala
Pihimbuwa,Kurunegala
Pilessa,Kurunegala
Polgahawela,Kurunegala
Polgolla,Kurunegala
Polpithigama,Kurunegala
Pothuhera,Kurunegala
Pothupitiya,Kurunegala
Pujapitiya,Kurunegala
Rakwana,Kurunegala
Ranorawa,Kurunegala
Rathukohodigala,Kurunegala
Ridibendiella,Kurunegala
Ridigama,Kurunegala
Saliya Asokapura,Kurunegala
Sandalankawa,Kurunegala
Sevanapitiya,Kurunegala
Sirambiadiya,Kurunegala
Sirisetagama,Kurunegala
Siyambalangamuwa,Kurunegala
Siyambalawewa,Kurunegala
Solepura,Kurunegala
Solewewa,Kurunegala
Sunandapura,Kurunegala
Talawattegedara,Kurunegala
Tambutta,Kurunegala
Tennepanguwa,Kurunegala
Thalahitimulla,Kurunegala
Thalakolawewa,Kurunegala
Thalwita,Kurunegala
Tharana Udawela,Kurunegala
Thimbiriyawa,Kurunegala
Tisogama,Kurunegala
Thorayaya,Kurunegala
Tulhiriya,Kurunegala
Tuntota,Kurunegala
Tuttiripitigama,Kurunegala
Udagaldeniya,Kurunegala
Udahingulwala,Kurunegala
Udawatta,Kurunegala
Udubaddawa,Kurunegala
Udumulla,Kurunegala
Uhumiya,Kurunegala
Ulpotha Pallekele,Kurunegala
Ulpothagama,Kurunegala
Usgala Siyabmalangamuwa,Kurunegala
Vijithapura,Kurunegala
Wadakada,Kurunegala
Wadumunnegedara,Kurunegala
Walakumburumulla,Kurunegala
Wannigama,Kurunegala
Wannikudawewa,Kurunegala
Wannilhalagama,Kurunegala
Wannirasnayakapura,Kurunegala
Warawewa,Kurunegala
Wariyapola,Kurunegala
Watareka,Kurunegala
Wattegama,Kurunegala
Watuwatta,Kurunegala
Weerapokuna,Kurunegala
Welawa Juncton,Kurunegala
Welipennagahamulla,Kurunegala
Wellagala,Kurunegala
Wellarawa,Kurunegala
Wellawa,Kurunegala
Welpalla,Kurunegala
Wennoruwa,Kurunegala
Weuda,Kurunegala
Wewagama,Kurunegala
Wilgamuwa,Kurunegala
Yakwila,Kurunegala
Yatigaloluwa,Kurunegala
Mannar,Mannar
Puthukudiyiruppu,Mannar
Akuramboda,Matale
Alawatuwala,Matale
Alwatta,Matale
Ambana,Matale
Aralaganwila,Matale
Ataragallewa,Matale
Bambaragaswewa,Matale
Barawardhana Oya,Matale
Beligamuwa,Matale
Damana,Matale
Dambulla,Matale
Damminna,Matale
Dankanda,Matale
Delwite,Matale
Devagiriya,Matale
Dewahuwa,Matale
Divuldamana,Matale
Dullewa,Matale
Dunkolawatta,Matale
Elkaduwa,Matale
Erawula Junction,Matale
Etanawala,Matale
Galewela,Matale
Galoya Junction,Matale
Gammaduwa,Matale
Gangala Puwakpitiya,Matale
Hasalaka,Matale
Hattota Amuna,Matale
Imbulgolla,Matale
Inamaluwa,Matale
Iriyagolla,Matale
Kaikawala,Matale
Kalundawa,Matale
Kandalama,Matale
Kavudupelella,Matale
Kibissa,Matale
Kiwula,Matale
Kongahawela,Matale
Laggala Pallegama,Matale
Leliambe,Matale
Lenadora,Matale
Ihala Halmillewa,Matale
Illukkumbura,Matale
Madipola,Matale
Mahawela,Matale
Mananwatta,Matale
Maraka,Matale
Matale,Matale
Melipitiya,Matale
Metihakka,Matale
Millawana,Matale
Muwandeniya,Matale
Nalanda,Matale
Naula,Matale
Opalgala,Matale
Pallepola,Matale
Pimburattewa,Matale
Pulastigama,Matale
Ranamuregama,Matale
Rattota,Matale
Selagama,Matale
Sigiriya,Matale
Sinhagama,Matale
Sungavila,Matale
Talagoda Junction,Matale
Talakiriyagama,Matale
Tamankaduwa,Matale
Udasgiriya,Matale
Udatenna,Matale
Ukuwela,Matale
Wahacotte,Matale
Walawela,Matale
Wehigala,Matale
Welangahawatte,Matale
Wewalawewa,Matale
Yatawatta,Matale
Akuressa,Matara
Alapaladeniya,Matara
Aparekka,Matara
Athuraliya,Matara
Bengamuwa,Matara
Bopagoda,Matara
Dampahala,Matara
Deegala Lenama,Matara
Deiyandara,Matara
Denagama,Matara
Denipitiya,Matara
Deniyaya,Matara
Derangala,Matara
Devinuwara (Dondra),Matara
Dikwella,Matara
Diyagaha,Matara
Diyalape,Matara
Gandara,Matara
Godapitiya,Matara
Gomilamawarala,Matara
Hawpe,Matara
Horapawita,Matara
Kalubowitiyana,Matara
Kamburugamuwa,Matara
Kamburupitiya,Matara
Karagoda Uyangoda,Matara
Karaputugala,Matara
Karatota,Matara
Kekanadura,Matara
Kiriweldola,Matara
Kiriwelkele,Matara
Kolawenigama,Matara
Kotapola,Matara
Lankagama,Matara
Makandura,Matara
Maliduwa,Matara
Maramba,Matara
Matara,Matara
Mediripitiya,Matara
Miella,Matara
Mirissa,Matara
Morawaka,Matara
Mulatiyana Junction,Matara
Nadugala,Matara
Naimana,Matara
Palatuwa,Matara
Parapamulla,Matara
Pasgoda,Matara
Penetiyana,Matara
Pitabeddara,Matara
Puhulwella,Matara
Radawela,Matara
Ransegoda,Matara
Rotumba,Matara
Sultanagoda,Matara
Telijjawila,Matara
Thihagoda,Matara
Urubokka,Matara
Urugamuwa,Matara
Urumutta,Matara
Viharahena,Matara
Walakanda,Matara
Walasgala,Matara
Waralla,Matara
Weligama,Matara
Wilpita,Matara
Yatiyana,Matara
Ayiwela,Monaragala
Badalkumbura,Monaragala
Baduluwela,Monaragala
Bakinigahawela,Monaragala
Balaharuwa,Monaragala
Bibile,Monaragala
Buddama,Monaragala
Buttala,Monaragala
Dambagalla,Monaragala
Diyakobala,Monaragala
Dombagahawela,Monaragala
Ethimalewewa,Monaragala
Ettiliwewa,Monaragala
Galabedda,Monaragala
Gamewela,Monaragala
Hambegamuwa,Monaragala
Hingurukaduwa,Monaragala
Hulandawa,Monaragala
Inginiyagala,Monaragala
Kandaudapanguwa,Monaragala
Kandawinna,Monaragala
Kataragama,Monaragala
Kotagama,Monaragala
Kotamuduna,Monaragala
Kotawehera Mankada,Monaragala
Kudawewa,Monaragala
Kumbukkana,Monaragala
Marawa,Monaragala
Mariarawa,Monaragala
Medagana,Monaragala
Medawelagama,Monaragala
Miyanakandura,Monaragala
Monaragala,Monaragala
Moretuwegama,Monaragala
Nakkala,Monaragala
Namunukula,Monaragala
Nannapurawa,Monaragala
Nelliyadda,Monaragala
Nilgala,Monaragala
Obbegoda,Monaragala
Okkampitiya,Monaragala
Pangura,Monaragala
Pitakumbura,Monaragala
Randeniya,Monaragala
Ruwalwela,Monaragala
Sella Kataragama,Monaragala
Siyambalagune,Monaragala
Siyambalanduwa,Monaragala
Suriara,Monaragala
Thanamalwila,Monaragala
Uva Gangodagama,Monaragala
Uva Kudaoya,Monaragala
Uva Pelwatta,Monaragala
Warunagama,Monaragala
Wedikumbura,Monaragala
Weherayaya Handapanagala,Monaragala
Wellawaya,Monaragala
Wilaoya,Monaragala
Yudaganawa,Monaragala
Mullativu,Mullaitivu
Agarapathana,Nuwara Eliya
Ambatalawa,Nuwara Eliya
Ambewela,Nuwara Eliya
Bogawantalawa,Nuwara Eliya
Bopattalawa,Nuwara Eliya
Dagampitiya,Nuwara Eliya
Dayagama Bazaar,Nuwara Eliya
Dikoya,Nuwara Eliya
Doragala,Nuwara Eliya
Dunukedeniya,Nuwara Eliya
Egodawela,Nuwara Eliya
Ekiriya,Nuwara Eliya
Elamulla,Nuwara Eliya
Ginigathena,Nuwara Eliya
Gonakele,Nuwara Eliya
Haggala,Nuwara Eliya
Halgranoya,Nuwara Eliya
Hangarapitiya,Nuwara Eliya
Hapugasthalawa,Nuwara Eliya
Harasbedda,Nuwara Eliya
Hatton,Nuwara Eliya
Hewaheta,Nuwara Eliya
Hitigegama,Nuwara Eliya
Jangulla,Nuwara Eliya
Kalaganwatta,Nuwara Eliya
Kandapola,Nuwara Eliya
Karandagolla,Nuwara Eliya
Keerthi Bandarapura,Nuwara Eliya
Kiribathkumbura,Nuwara Eliya
Kotiyagala,Nuwara Eliya
Kotmale,Nuwara Eliya
Kottellena,Nuwara Eliya
Kumbalgamuwa,Nuwara Eliya
Kumbukwela,Nuwara Eliya
Kurupanawela,Nuwara Eliya
Labukele,Nuwara Eliya
Laxapana,Nuwara Eliya
Lindula,Nuwara Eliya
Madulla,Nuwara Eliya
Mandaram Nuwara,Nuwara Eliya
Maskeliya,Nuwara Eliya
Maswela,Nuwara Eliya
Maturata,Nuwara Eliya
Mipanawa,Nuwara Eliya
Mipilimana,Nuwara Eliya
Morahenagama,Nuwara Eliya
Munwatta,Nuwara Eliya
Nayapana Janapadaya,Nuwara Eliya
Nildandahinna,Nuwara Eliya
Nissanka Uyana,Nuwara Eliya
Norwood,Nuwara Eliya
Nuwara Eliya,Nuwara Eliya
Padiyapelella,Nuwara Eliya
Pallebowala,Nuwara Eliya
Panvila,Nuwara Eliya
Pitawala,Nuwara Eliya
Pundaluoya,Nuwara Eliya
Ramboda,Nuwara Eliya
Rikillagaskada,Nuwara Eliya
Rozella,Nuwara Eliya
Rupaha,Nuwara Eliya
Ruwaneliya,Nuwara Eliya
Santhipura,Nuwara Eliya
Talawakele,Nuwara Eliya
Tawalantenna,Nuwara Eliya
Teripeha,Nuwara Eliya
Udamadura,Nuwara Eliya
Udapussallawa,Nuwara Eliya
Uva Deegalla,Nuwara Eliya
Uva Uduwara,Nuwara Eliya
Uvaparanagama,Nuwara Eliya
Walapane,Nuwara Eliya
Watawala,Nuwara Eliya
Widulipura,Nuwara Eliya
Wijebahukanda,Nuwara Eliya
Attanakadawala,Polonnaruwa
Bakamuna,Polonnaruwa
Diyabeduma,Polonnaruwa
Elahera,Polonnaruwa
Giritale,Polonnaruwa
Hingurakdamana,Polonnaruwa
Hingurakgoda,Polonnaruwa
Jayanthipura,Polonnaruwa
Kalingaela,Polonnaruwa
Lakshauyana,Polonnaruwa
Mankemi,Polonnaruwa
Minneriya,Polonnaruwa
Onegama,Polonnaruwa
Orubendi Siyambalawa,Polonnaruwa
Palugasdamana,Polonnaruwa
Panichankemi,Polonnaruwa
Polonnaruwa,Polonnaruwa
Talpotha,Polonnaruwa
Tambala,Polonnaruwa
Unagalavehera,Polonnaruwa
Wijayabapura,Polonnaruwa
Adippala,Puttalam
Alutgama,Puttalam
Alutwewa,Puttalam
Ambakandawila,Puttalam
Anamaduwa,Puttalam
Andigama,Puttalam
Angunawila,Puttalam
Attawilluwa,Puttalam
Bangadeniya,Puttalam
Baranankattuwa,Puttalam
Battuluoya,Puttalam
Bujjampola,Puttalam
Chilaw,Puttalam
Dalukana,Puttalam
Dankotuwa,Puttalam
Dewagala,Puttalam
Dummalasuriya,Puttalam
Dunkannawa,Puttalam
Eluwankulama,Puttalam
Ettale,Puttalam
Galamuna,Puttalam
Galmuruwa,Puttalam
Hansayapalama,Puttalam
Ihala Kottaramulla,Puttalam
Ilippadeniya,Puttalam
Inginimitiya,Puttalam
Ismailpuram,Puttalam
Jayasiripura,Puttalam
Kakkapalliya,Puttalam
Kalkudah,Puttalam
Kalladiya,Puttalam
Kandakuliya,Puttalam
Karathivu,Puttalam
Karawitagara,Puttalam
Karuwalagaswewa,Puttalam
Katuneriya,Puttalam
Koswatta,Puttalam
Kottantivu,Puttalam
Kottapitiya,Puttalam
Kottukachchiya,Puttalam
Kumarakattuwa,Puttalam
Kurinjanpitiya,Puttalam
Kuruketiyawa,Puttalam
Lunuwila,Puttalam
Madampe,Puttalam
Madurankuliya,Puttalam
Mahakumbukkadawala,Puttalam
Mahauswewa,Puttalam
Mampitiya,Puttalam
Mampuri,Puttalam
Mangalaeliya,Puttalam
Marawila,Puttalam
Mudalakkuliya,Puttalam
Mugunuwatawana,Puttalam
Mukkutoduwawa,Puttalam
Mundel,Puttalam
Muttibendiwila,Puttalam
Nainamadama,Puttalam
Nalladarankattuwa,Puttalam
Nattandiya,Puttalam
Nawagattegama,Puttalam
Nelumwewa,Puttalam
Norachcholai,Puttalam
Pallama,Puttalam
Palliwasalturai,Puttalam
Panirendawa,Puttalam
Parakramasamudraya,Puttalam
Pothuwatawana,Puttalam
Puttalam,Puttalam
Puttalam Cement Factory,Puttalam
Rajakadaluwa,Puttalam
Saliyawewa Junction,Puttalam
Serukele,Puttalam
Siyambalagashene,Puttalam
Tabbowa,Puttalam
Talawila Church,Puttalam
Toduwawa,Puttalam
Udappuwa,Puttalam
Uridyawa,Puttalam
Vanathawilluwa,Puttalam
Waikkal,Puttalam
Watugahamulla,Puttalam
Wennappuwa,Puttalam
Wijeyakatupotha,Puttalam
Wilpotha,Puttalam
Yodaela,Puttalam
Yogiyana,Puttalam
Akarella,Ratnapura
Amunumulla,Ratnapura
Atakalanpanna,Ratnapura
Ayagama,Ratnapura
Balangoda,Ratnapura
Batatota,Ratnapura
Beralapanathara,Ratnapura
Bogahakumbura,Ratnapura
Bolthumbe,Ratnapura
Bomluwageaina,Ratnapura
Bowalagama,Ratnapura
Bulutota,Ratnapura
Dambuluwana,Ratnapura
Daugala,Ratnapura
Dela,Ratnapura
Delwala,Ratnapura
Dodampe,Ratnapura
Doloswalakanda,Ratnapura
Dumbara Manana,Ratnapura
Eheliyagoda,Ratnapura
Ekamutugama,Ratnapura
Elapatha,Ratnapura
Ellagawa,Ratnapura
Ellaulla,Ratnapura
Ellawala,Ratnapura
Embilipitiya,Ratnapura
Eratna,Ratnapura
Erepola,Ratnapura
Gabbela,Ratnapura
Gangeyaya,Ratnapura
Gawaragiriya,Ratnapura
Gillimale,Ratnapura
Godakawela,Ratnapura
Gurubewilagama,Ratnapura
Halwinna,Ratnapura
Handagiriya,Ratnapura
Hatangala,Ratnapura
Hatarabage,Ratnapura
Hewanakumbura,Ratnapura
Hidellana,Ratnapura
Hiramadagama,Ratnapura
Horewelagoda,Ratnapura
Ittakanda,Ratnapura
Kahangama,Ratnapura
Kahawatta,Ratnapura
Kalawana,Ratnapura
Kaltota,Ratnapura
Kalubululanda,Ratnapura
Kananke Bazaar,Ratnapura
Kandepuhulpola,Ratnapura
Karandana,Ratnapura
Karangoda,Ratnapura
Kella Junction,Ratnapura
Keppetipola,Ratnapura
Kiriella,Ratnapura
Kiriibbanwewa,Ratnapura
Kolambage Ara,Ratnapura
Kolombugama,Ratnapura
Kolonna,Ratnapura
Kudawa,Ratnapura
Kuruwita,Ratnapura
Lellopitiya,Ratnapura
Imaduwa,Ratnapura
Imbulpe,Ratnapura
Mahagama Colony,Ratnapura
Mahawalatenna,Ratnapura
Makandura,Ratnapura
Malwala Junction,Ratnapura
Malwatta,Ratnapura
Matuwagalagama,Ratnapura
Medagalature,Ratnapura
Meddekanda,Ratnapura
Minipura Dumbara,Ratnapura
Mitipola,Ratnapura
Moragala Kirillapone,Ratnapura
Morahela,Ratnapura
Mulendiyawala,Ratnapura
Mulgama,Ratnapura
Nawalakanda,Ratnapura
Nawinnapinnakanda,Ratnapura
Niralagama,Ratnapura
Nivitigala,Ratnapura
Omalpe,Ratnapura
Opanayaka,Ratnapura
Padalangala,Ratnapura
Pallebedda,Ratnapura
Pallekanda,Ratnapura
Pambagolla,Ratnapura
Panamura,Ratnapura
Panapola,Ratnapura
Paragala,Ratnapura
Parakaduwa,Ratnapura
Pebotuwa,Ratnapura
Pelmadulla,Ratnapura
Pinnawala,Ratnapura
Pothdeniya,Ratnapura
Rajawaka,Ratnapura
Ranwala,Ratnapura
Rassagala,Ratnapura
Rathgama,Ratnapura
Ratna Hangamuwa,Ratnapura
Ratnapura,Ratnapura
Sewanagala,Ratnapura
Sri Palabaddala,Ratnapura
Sudagala,Ratnapura
Thalakolahinna,Ratnapura
Thanjantenna,Ratnapura
Theppanawa,Ratnapura
Thunkama,Ratnapura
Udakarawita,Ratnapura
Udaniriella,Ratnapura
Udawalawe,Ratnapura
Ullinduwawa,Ratnapura
Veddagala,Ratnapura
Vijeriya,Ratnapura
Waleboda,Ratnapura
Watapotha,Ratnapura
Waturawa,Ratnapura
Weligepola,Ratnapura
Welipathayaya,Ratnapura
Wikiliya,Ratnapura
Agbopura,Trincomalee
Buckmigama,Trincomalee
China Bay,Trincomalee
Dehiwatte,Trincomalee
Echchilampattai,Trincomalee
Galmetiyawa,Trincomalee
Gomarankadawala,Trincomalee
Kaddaiparichchan,Trincomalee
Kallar,Trincomalee
Kanniya,Trincomalee
Kantalai,Trincomalee
Kantalai Sugar Factory,Trincomalee
Kiliveddy,Trincomalee
Kinniya,Trincomalee
Kuchchaveli,Trincomalee
Kumburupiddy,Trincomalee
Kurinchakerny,Trincomalee
Lankapatuna,Trincomalee
Mahadivulwewa,Trincomalee
Maharugiramam,Trincomalee
Mallikativu,Trincomalee
Mawadichenai,Trincomalee
Mullipothana,Trincomalee
Mutur,Trincomalee
Neelapola,Trincomalee
Nilaveli,Trincomalee
Pankulam,Trincomalee
Pulmoddai,Trincomalee
Rottawewa,Trincomalee
Sampaltivu,Trincomalee
Sampoor,Trincomalee
Serunuwara,Trincomalee
Seruwila,Trincomalee
Sirajnagar,Trincomalee
Somapura,Trincomalee
Tampalakamam,Trincomalee
Thuraineelavanai,Trincomalee
Tiriyayi,Trincomalee
Toppur,Trincomalee
Trincomalee,Trincomalee
Wanela,Trincomalee
Vavuniya,Vavuniya
Colombo 1,Colombo
Colombo 3,Colombo
Colombo 4,Colombo
Colombo 5,Colombo
Colombo 7,Colombo
Colombo 9,Colombo
Colombo 10,Colombo
Colombo 11,Colombo
Colombo 12,Colombo
Colombo 14,Colombo
Colombo Secretariant,Colombo
Melle Street,Colombo
Rifel Street,Colombo
Gem & Jewelry,Colombo
Torington Square,Colombo
National Museum of Colombo,Colombo
Colombo Labour Sec,Colombo
Polhengoda,Colombo
Anderson Plats,Colombo
Keppetipola Mawatha,Colombo
Narahenpita,Colombo
Kirulapana,Colombo
University of Colombo,Colombo
Colombo General Hospital,Colombo
Gothami Road,Colombo
Wanathamulla,Colombo
Baseline Road,Colombo
Kopiyawatta,Colombo
Maligawatta,Colombo
Panchikawatte,Colombo
Sarasavipaya,Colombo
Maligakanda,Colombo
Wolfendal Street,Colombo
Pettah Bus Stand,Colombo
Colombo Kachcheri,Colombo
Armour Street,Colombo
St. Anthony\'s,Colombo
Miraniya Street,Colombo
Wasala Road,Colombo
Nagalagam Street,Colombo
Aluth Mawatha Road,Colombo
Mutwal South,Colombo
Beddagana,Colombo
Madiwela,Colombo
Sri Perakumpura,Colombo
Mirihana North,Colombo
Nawala-Koswatte,Colombo
Nawala,Colombo
Rajagiriya,Colombo
Parliament of Sri Lanka,Colombo
Obeysekarapura,Colombo
Kalapaluwawa,Colombo
Talangama North,Colombo
Talangama South,Colombo
Jayawardhenegama,Colombo
Isurupaya,Colombo
Sethsiripaya,Colombo
Malabe,Colombo
Oruwala,Colombo
Panagoda Army Camp,Colombo
Magammana-Dolekade,Colombo
Homagama Town,Colombo
Godagama Junction,Colombo
Panagoda,Colombo
Galawilawaththa,Colombo
Kottawa,Colombo
Pelenwatta,Colombo
Arawwala West,Colombo
Kottawa North,Colombo
Rukmale-Pannipitiya,Colombo
Malapalla,Colombo
Mattegoda,Colombo
Mirihana,Colombo
Udahamulla,Colombo
Kohuwala,Colombo
Pamunuwa-Patiragoda,Colombo
Sudanapura,Colombo
Nawinna,Colombo
Vidyodaya University,Colombo
Pepiliyana,Colombo
Katuwawala,Colombo
Suwarapola,Colombo
Gorakapitiya,Colombo
Makandana,Colombo
Kesbewa,Colombo
Bokundara,Colombo
Kahathuduwa,Colombo
Ratmalana North,Colombo
Sirimal Uyana,Colombo
Ratmalana,Colombo
Koralawella,Colombo
Egodauyana North,Colombo
Egodauyana South,Colombo
Indibedda,Colombo
Moratumulla,Colombo
Rawathawatta,Colombo
Willorawatta,Colombo
Lunawa,Colombo
Laksapatiya,Colombo
Angulana,Colombo
Kaldemulla,Colombo
Katubedda,Colombo
Liyanwala,Colombo
Poregedara,Colombo
Dampe,Colombo
Malagala,Colombo
Meepe Junction,Colombo
Pinnawala-Waga,Colombo
Angampitiya,Colombo
Arukwathupura,Colombo
Kandanapitiya,Colombo
Gurulana,Colombo
Udugamkanda,Colombo
Wattala,Gampaha
Bulnewa,Anuradhapura
Kebithigollewa,Anuradhapura
Madipola,Matale
Karatota,Matara
Gangulandeniya,Hambantota
Idalgashinna,Badulla
Allaipiddi,Jaffna
Allaveddi,Jaffna
Alvai,Jaffna
Anaikoddai,Jaffna
Analaitivu,Jaffna
Araly,Jaffna
Atchuveli,Jaffna
Chankanai,Jaffna
Chavakachcheri,Jaffna
Chullipuram,Jaffna
Chundikuli,Jaffna
Chunnakam,Jaffna
Delft West,Jaffna
Delft,Jaffna
Eluvaitivu,Jaffna
Erialai,Jaffna
Ilavalai,Jaffna
Kankesanthurai,Jaffna
Karainagar,Jaffna
Karaveddi,Jaffna
Kayts,Jaffna
Kodikamam,Jaffna
Kokuvil,Jaffna
Kondavil,Jaffna
Kopay,Jaffna
Kudatanai,Jaffna
Mallakam,Jaffna
Mandaitivu,Jaffna
Manipay,Jaffna
Mathagal,Jaffna
Meesalai,Jaffna
Mahiyampathy,Jaffna
Mirusuvil,Jaffna
Nagarkovil,Jaffna
Nagendramadam,Jaffna
Nainathivu,Jaffna
Neervely,Jaffna
Pandaterippu,Jaffna
Point Pedro,Jaffna
Puloly,Jaffna
Pungudutivu,Jaffna
Puttur,Jaffna
Sandilipay,Jaffna
Sangarathai,Jaffna
Sithankerny,Jaffna
Sivankovilady,Jaffna
Thellippallai,Jaffna
Thondamanaru,Jaffna
Urumpirai,Jaffna
Vaddukoddai,Jaffna
Valvettithurai,Jaffna
Varany,Jaffna
Vasavilan,Jaffna
Velanai,Jaffna
Gurunagar,Jaffna
Kaitadi,Jaffna
Nallur,Jaffna
Thirunelvely,Jaffna
Vannarponnai,Jaffna
Akkarayankulam,Kilinochchi
Aliyawalai,Kilinochchi
Chempiyanpattu,Kilinochchi
Elephant Pass,Kilinochchi
Eluthumadduval,Kilinochchi
Iranaitiv,Kilinochchi
Iyyakachchi,Kilinochchi
Kavutharimunai,Kilinochchi
Konavil,Kilinochchi
Mulliyan,Kilinochchi
Murasumoddai,Kilinochchi
Pallavarayankaddu,Kilinochchi
Paranthan,Kilinochchi
Puliyampokkanai,Kilinochchi
Punakari-Nallur,Kilinochchi
Ramanathapuram,Kilinochchi
Sivapuram,Kilinochchi
Skanthapuram,Kilinochchi
Thalaiyadi,Kilinochchi
Tharmapuram,Kilinochchi
Uruthirapuram,Kilinochchi
Vaddakachchi,Kilinochchi
Vannerikkulam,Kilinochchi
Veravil,Kilinochchi
Vinayagapuram,Kilinochchi
Ambalnagar,Kilinochchi
Cheddiyakurichchi,Kilinochchi
Chundikulam,Kilinochchi
Kalmadunagar,Kilinochchi
Karadipokku,Kilinochchi
Kilay,Kilinochchi
Kunchuparanthan,Kilinochchi
Muhamalai,Kilinochchi
Pallai,Kilinochchi
Sivanagar,Kilinochchi
Soranpattu,Kilinochchi
Thirunagar,Kilinochchi
Thiruvaiaru,Kilinochchi
Alampil,Mullaitivu
Karuppaddamurippu,Mullaitivu
Mankulam,Mullaitivu
Mullivaikkal,Mullaitivu
Mulliyawalai,Mullaitivu
Muththaiyankaddukulam,Mullaitivu
Naddankandal,Mullaitivu
Oddusudan,Mullaitivu
Puthukkudiyiruppu,Mullaitivu
Puthuvedduvan,Mullaitivu
Thunukkai,Mullaitivu
Udayarkaddu,Mullaitivu
Vavunakkulam,Mullaitivu
Visvamadukulam,Mullaitivu
