city,district
Idalgashinna,Badulla
Kahataruppa,Badulla
Kalugahakandura,Badulla
Kalupahana,Badulla
Kebillawela,Badulla
Kendagolla,Badulla
Keselpotha,Badulla
Ketawatta,Badulla
Kiriwanagama,Badulla
Koslanda,Badulla
Kuruwitenna,Badulla
Kuttiyagolla,Badulla
Landewela,Badulla
Liyangahawela,Badulla
Lunugala,Badulla
Lunuwatta,Badulla
Madulsima,Badulla
Mahiyanganaya,Badulla
Makulella,Badulla
Malgoda,Badulla
Mapakadawewa,Badulla
Maspanna,Badulla
Maussagolla,Badulla
Mawanagama,Badulla
Medawela Udukinda,Badulla
Meegahakiula,Badulla
Metigahatenna,Badulla
Mirahawatta,Badulla
Miriyabedda,Badulla
Nawamedagama,Badulla
Nelumgama,Badulla
Nikapotha,Badulla
Nugatalawa,Badulla
Ohiya,Badulla
Pahalarathkinda,Badulla
Pallekiruwa,Badulla
Passara,Badulla
Pattiyagedara,Badulla
Pelagahatenna,Badulla
Perawella,Badulla
Pitamaruwa,Badulla
Pitapola,Badulla
Puhulpola,Badulla
Rajagalatenna,Badulla
Rathkarawwa,Badulla
Ridimaliyadda,Badulla
Silmiyapura,Badulla
Sirimalgoda,Badulla
Siripura,Badulla
Sorabora Colony,Badulla
Soragune,Badulla
Soranathota,Badulla
Taldena,Badulla
Timbirigaspitiya,Badulla
Uduhawara,Badulla
Uraniya,Badulla
Uva Karandagolla,Badulla
Uva Mawelagama,Badulla
Uva Tenna,Badulla
Uva Tissapura,Badulla
Welimada,Badulla
Weranketagoda,Badulla
Wewatta,Badulla
Wineethagama,Badulla
Yalagamuwa,Badulla
Yalwela,Badulla
Addalaichenai,Batticaloa
Ampilanthurai,Batticaloa
Araipattai,Batticaloa
Ayithiyamalai,Batticaloa
Bakiella,Batticaloa
Batticaloa,Batticaloa
Cheddipalayam,Batticaloa
Chenkaladi,Batticaloa
Eravur,Batticaloa
Kaluwanchikudi,Batticaloa
Kaluwankemy,Batticaloa
Kannankudah,Batticaloa
Karadiyanaru,Batticaloa
Kathiraveli,Batticaloa
Kattankudi,Batticaloa
Kiran,Batticaloa
Kirankulam,Batticaloa
Koddaikallar,Batticaloa
Kokkaddicholai,Batticaloa
Kurukkalmadam,Batticaloa
Mandur,Batticaloa
Miravodai,Batticaloa
Murakottanchanai,Batticaloa
Navagirinagar,Batticaloa
Navatkadu,Batticaloa
Oddamavadi,Batticaloa
Palamunai,Batticaloa
Pankudavely,Batticaloa
Periyaporativu,Batticaloa
Periyapullumalai,Batticaloa
Pillaiyaradi,Batticaloa
Punanai,Batticaloa
Thannamunai,Batticaloa
Thettativu,Batticaloa
Thikkodai,Batticaloa
Thirupalugamam,Batticaloa
Unnichchai,Batticaloa
Vakaneri,Batticaloa
Vakarai,Batticaloa
Valaichenai,Batticaloa
Vantharumoolai,Batticaloa
Vellavely,Batticaloa
Akarawita,Colombo
Ambalangoda,Colombo
Athurugiriya,Colombo
Avissawella,Colombo
Batawala,Colombo
Battaramulla,Colombo
Biyagama,Colombo
Bope,Colombo
Boralesgamuwa,Colombo
Colombo 8,Colombo
Dedigamuwa,Colombo
Dehiwala,Colombo
Deltara,Colombo
Habarakada,Colombo
Hanwella,Colombo
Hiripitya,Colombo
Hokandara,Colombo
Homagama,Colombo
Horagala,Colombo
Kaduwela,Colombo
Kaluaggala,Colombo
Kapugoda,Colombo
Kehelwatta,Colombo
Kiriwattuduwa,Colombo
Kolonnawa,Colombo
Kosgama,Colombo
Madapatha,Colombo
Maharagama,Colombo
Malabe,Colombo
Moratuwa,Colombo
Mount Lavinia,Colombo
Mullegama,Colombo
Napawela,Colombo
Nugegoda,Colombo
Padukka,Colombo
Pannipitiya,Colombo
Piliyandala,Colombo
Pitipana Homagama,Colombo
Polgasowita,Colombo
Pugoda,Colombo
Ranala,Colombo
Siddamulla,Colombo
Siyambalagoda,Colombo
Sri Jayawardenepura,Colombo
Talawatugoda,Colombo
Tummodara,Colombo
Waga,Colombo
Colombo 6,Colombo
Agaliya,Galle
Ahangama,Galle
Ahungalla,Galle
Akmeemana,Galle
Alawatugoda,Galle
Aluthwala,Galle
Ampegama,Galle
Amugoda,Galle
Anangoda,Galle
Angulugaha,Galle
Ankokkawala,Galle
Aselapura,Galle
Baddegama,Galle
Balapitiya,Galle
Banagala,Galle
Batapola,Galle
Bentota,Galle
Boossa,Galle
Dellawa,Galle
Dikkumbura,Galle
Dodanduwa,Galle
Ella Tanabaddegama,Galle
Elpitiya,Galle
Galle,Galle
Ginimellagaha,Galle
Gintota,Galle
Godahena,Galle
Gonamulla Junction,Galle
Gonapinuwala,Galle
Habaraduwa,Galle
Haburugala,Galle
Hikkaduwa,Galle
Hiniduma,Galle
Hiyare,Galle
Kahaduwa,Galle
Kahawa,Galle
Karagoda,Galle
Karandeniya,Galle
Kosgoda,Galle
Kottawagama,Galle
Kottegoda,Galle
Kuleegoda,Galle
Magedara,Galle
Mahawela Sinhapura,Galle
Mapalagama,Galle
Mapalagama Central,Galle
Mattaka,Galle
Meda-Keembiya,Galle
Meetiyagoda,Galle
Nagoda,Galle
Nakiyadeniya,Galle
Nawandagala,Galle
Neluwa,Galle
Nindana,Galle
Pahala Millawa,Galle
Panangala,Galle
